Cell_ID,Camera_ID,Setup_date,Retrieval_date,Problem1_from,Problem1_to,CameraLocation,Year
NE5891,8,2019-06-22,2020-07-16,NA,NA,NE5891_8,2019
NE5938,11,2019-07-20,2020-06-19,NA,NA,NE5938_11,2019
NE6078,131,2019-07-21,2020-07-25,NA,NA,NE6078_131,2019
NE6230,25,2019-06-25,2020-06-17,NA,NA,NE6230_25,2019
NE6235,22,2019-06-25,2020-06-19,NA,NA,NE6235_22,2019
NE6321,21,2019-05-27,2020-06-17,NA,NA,NE6321_21,2019
NE6324,34,2019-06-20,2020-07-19,NA,NA,NE6324_34,2019
NE6422,33,2019-05-27,2020-06-17,NA,NA,NE6422_33,2019
NE6528,27,2019-05-27,2020-07-06,NA,NA,NE6528_27,2019
NE6598,95,2019-06-18,2020-07-18,NA,NA,NE6598_95,2019
NE6684,130,2019-07-21,2020-07-25,NA,NA,NE6684_130,2019
NE7037,119,2019-06-20,2020-07-28,NA,NA,NE7037_119,2019
NE7103,65,2019-06-18,2020-07-19,NA,NA,NE7103_65,2019
NE7115,28,2019-08-20,2020-07-18,NA,NA,NE7115_28,2019
NE7422,115,2019-06-22,2020-07-19,NA,NA,NE7422_115,2019
NE7479,9,2019-07-18,2020-07-26,NA,NA,NE7479_9,2019
OK1404,24,2019-06-24,2020-07-07,NA,NA,OK1404_24,2019
OK1979,107,2019-08-04,2020-07-08,NA,NA,OK1979_107,2019
OK2076,19,2019-08-04,2020-07-08,NA,NA,OK2076_19,2019
OK2145,112,2019-06-03,2020-06-25,NA,NA,OK2145_112,2019
OK2165,74,2019-07-29,2020-07-16,NA,NA,OK2165_74,2019
OK2436,93,2019-06-26,2020-07-05,NA,NA,OK2436_93,2019
OK2453,59,2019-06-25,2020-07-08,NA,NA,OK2453_59,2019
OK2457,44,2019-08-03,2020-07-08,NA,NA,OK2457_44,2019
OK2525,16,2019-06-10,2020-06-25,NA,NA,OK2525_16,2019
OK2820,100,2019-06-03,2020-06-25,NA,NA,OK2820_100,2019
OK2823,26,2019-06-06,2020-07-04,2020-01-13,2020-03-05,OK2823_26,2019
OK3112,122,2019-06-03,2020-06-25,NA,NA,OK3112_122,2019
OK3408,90,2019-06-06,2020-07-03,NA,NA,OK3408_90,2019
OK3410,75,2019-08-03,2020-07-03,NA,NA,OK3410_75,2019
OK3485,50,2019-08-07,2020-07-02,2019-12-09,2020-07-02,OK3485_50,2019
OK3562,132,2019-08-13,2020-08-08,2019-11-20,2020-06-01,OK3562_132,2019
OK3712,110,2019-07-02,2020-06-20,NA,NA,OK3712_110,2019
OK3778,92,2019-07-04,2020-07-02,NA,NA,OK3778_92,2019
OK3792,68,2019-05-23,2020-07-03,NA,NA,OK3792_68,2019
OK3877,57,2019-06-06,2020-06-15,NA,NA,OK3877_57,2019
OK3908,55,2019-07-02,2020-06-26,NA,NA,OK3908_55,2019
OK3940,47,2019-08-31,2020-08-05,2020-01-14,2020-06-16,OK3940_47,2019
OK3990,49,2019-08-07,2020-06-29,NA,NA,OK3990_49,2019
OK4182,91,2019-08-06,2020-07-16,NA,NA,OK4182_91,2019
OK4285,62,2019-07-23,2020-06-23,NA,NA,OK4285_62,2019
OK4306,78,2019-06-11,2020-06-27,NA,NA,OK4306_78,2019
OK4382,72,2019-07-23,2020-06-23,NA,NA,OK4382_72,2019
OK4489,102,2019-07-03,2020-06-21,NA,NA,OK4489_102,2019
OK4561,86,2019-05-24,2020-06-28,NA,NA,OK4561_86,2019
OK4574,63,2019-06-09,2020-06-23,NA,NA,OK4574_63,2019
OK4592,124,2019-07-30,2020-06-27,NA,NA,OK4592_124,2019
OK4602,121,2019-07-30,2020-07-06,NA,NA,OK4602_121,2019
OK4724,42,2019-07-01,2020-07-01,NA,NA,OK4724_42,2019
OK4769,125,2019-08-05,2020-06-23,NA,NA,OK4769_125,2019
OK4836,14,2019-06-03,2020-07-04,NA,NA,OK4836_14,2019
OK4944,96,2019-12-04,2020-07-13,NA,NA,OK4944_96,2019
OK4962,67,2019-06-09,2020-06-23,NA,NA,OK4962_67,2019
OK4986,70,2019-06-11,2020-07-06,NA,NA,OK4986_70,2019
OK5298,89,2019-07-05,2020-07-14,NA,NA,OK5298_89,2019
OK5311,43,2019-06-07,2020-06-30,NA,NA,OK5311_43,2019
OK5599,58,2019-07-05,2020-06-30,2019-12-02,2020-06-30,OK5599_58,2019
OK5719,96,2019-07-07,2019-11-11,NA,NA,OK5719_96,2019
OK5899,108,2019-06-01,2020-06-17,NA,NA,OK5899_108,2019
OK5917,117,2019-07-07,2020-06-16,2019-10-25,2020-06-16,OK5917_117,2019
OK6033,73,2019-07-30,2020-07-12,NA,NA,OK6033_73,2019
OK6192,97,2019-08-05,2020-07-16,NA,NA,OK6192_97,2019
OK6276,87,2019-07-06,2020-06-17,NA,NA,OK6276_87,2019
OK6286,52,2019-05-31,2020-06-19,NA,NA,OK6286_52,2019
OK6473,61,2019-05-28,2020-06-17,NA,NA,OK6473_61,2019
OK6477,77,2019-05-31,2020-06-19,NA,NA,OK6477_77,2019
OK6590,80,2019-05-24,2020-06-16,NA,NA,OK6590_80,2019
OK6597,41,2019-06-04,2020-06-22,NA,NA,OK6597_41,2019
OK7250,31,2019-07-06,2020-07-03,NA,NA,OK7250_31,2019
OK7270,1,2019-06-04,2020-06-22,NA,NA,OK7270_1,2019
OK7350,12,2019-07-06,2020-07-03,NA,NA,OK7350_12,2019
OK7470,45,2019-06-05,2020-06-22,NA,NA,OK7470_45,2019
OK7536,38,2019-08-05,2020-06-19,NA,NA,OK7536_38,2019
OK7545,51,2019-06-12,2020-06-24,NA,NA,OK7545_51,2019
OK7623,99,2019-06-08,2020-06-19,NA,NA,OK7623_99,2019
OK8226,103,2019-07-24,2020-06-24,NA,NA,OK8226_103,2019
OK8240,76,2019-06-05,2020-06-22,NA,NA,OK8240_76,2019
OK8420,71,2019-06-12,2020-06-24,2019-09-26,2019-10-19,OK8420_71,2019
NE0675,29,2020-07-30,2021-06-09,NA,NA,NE0675_29,2020
NE0881,81,2020-07-29,2021-06-12,NA,NA,NE0881_81,2020
NE2278,33,2020-06-23,2021-06-03,NA,NA,NE2278_33,2020
NE2450,113,2020-08-02,2021-06-03,NA,NA,NE2450_113,2020
NE2558,65,2020-07-21,2021-06-12,NA,NA,NE2558_65,2020
NE2794,120,2020-07-17,2021-06-03,2020-12-16,2021-06-03,NE2794_120,2020
NE2796,118,2020-07-21,2021-06-09,NA,NA,NE2796_118,2020
NE2882,21,2020-06-23,2021-06-03,NA,NA,NE2882_21,2020
NE3081,20,2020-07-18,2021-06-11,2020-08-22,2020-10-02,NE3081_20,2020
NE3309,84,2020-07-30,2021-06-09,NA,NA,NE3309_84,2020
NE3468,15,2020-07-29,2021-06-12,NA,NA,NE3468_15,2020
NE3485,66,2020-07-18,2021-06-11,NA,NA,NE3485_66,2020
NE3487,30,2020-07-18,2021-06-11,NA,NA,NE3487_30,2020
NE3495,35,2020-07-17,2021-06-13,NA,NA,NE3495_35,2020
NE3888,Rx6,2020-07-31,2021-07-20,NA,NA,NE3888_Rx6,2020
NE4002,106,2020-07-19,2021-06-10,NA,NA,NE4002_106,2020
NE4073,6,2020-08-02,2021-06-10,NA,NA,NE4073_6,2020
NE4276,2,2020-07-24,2021-06-10,NA,NA,NE4276_2,2020
NE4299,94,2020-06-20,2021-06-13,2020-10-09,2021-06-13,NE4299_94,2020
NE4308,11,2020-06-21,2021-06-10,NA,NA,NE4308_11,2020
NE4400,48,2020-06-21,2021-06-04,NA,NA,NE4400_48,2020
NE4405,83,2020-06-21,2021-06-04,NA,NA,NE4405_83,2020
NE4477,37,2020-07-29,2021-06-10,NA,NA,NE4477_37,2020
NE4725,9,2020-08-10,2021-06-09,NA,NA,NE4725_9,2020
NE4774,34,2020-07-20,2021-06-10,NA,NA,NE4774_34,2020
NE4780,115,2020-07-20,2021-06-10,NA,NA,NE4780_115,2020
NE4931,Rx2,2020-07-30,2021-06-09,NA,NA,NE4931_Rx2,2020
NE5012,54,2020-06-21,2021-06-04,NA,NA,NE5012_54,2020
NE5194,74,2020-07-18,2021-06-08,NA,NA,NE5194_74,2020
NE5240,Rx10,2020-07-30,2021-06-05,NA,NA,NE5240_Rx10,2020
NE5314,13,2021-02-07,2021-06-04,NA,NA,NE5314_13,2020
NE5372,130,2020-07-23,2021-06-06,NA,NA,NE5372_130,2020
NE5400,Rx5,2020-07-31,2021-06-08,NA,NA,NE5400_Rx5,2020
NE5432,56,2020-07-23,2021-06-05,NA,NA,NE5432_56,2020
NE5443,69,2020-07-23,2021-06-05,NA,NA,NE5443_69,2020
NE5593,27,2020-07-16,2021-06-08,2020-12-19,2021-06-08,NE5593_27,2020
NE5737,101,2020-07-28,2021-06-05,NA,NA,NE5737_101,2020
NE5884,39,2020-08-01,2021-06-10,NA,NA,NE5884_39,2020
NE5920,8,2020-07-17,2020-12-04,2020-08-22,2020-12-04,NE5920_8,2020
NE5920,8b,2020-12-04,2021-06-12,2021-04-17,2021-06-12,NE5920_8b,2020
NE6090,22,2020-07-16,2021-06-07,NA,NA,NE6090_22,2020
NE6141,Rx15,2020-07-28,2021-06-05,NA,NA,NE6141_Rx15,2020
NE6304,82,2020-07-22,2021-06-08,NA,NA,NE6304_82,2020
NE6392,131,2020-07-26,2021-06-04,NA,NA,NE6392_131,2020
NE6482,88,2020-08-01,2021-06-04,NA,NA,NE6482_88,2020
NE6789,23,2020-07-21,2021-06-07,NA,NA,NE6789_23,2020
NE6805,91,2020-07-18,2021-06-06,NA,NA,NE6805_91,2020
NE6820,114,2020-07-31,2021-06-12,NA,NA,NE6820_114,2020
NE6928,40,2020-08-02,2021-06-08,NA,NA,NE6928_40,2020
NE7321,116,2020-07-31,2021-06-15,NA,NA,NE7321_116,2020
NE7412,28,2020-07-19,2021-06-06,NA,NA,NE7412_28,2020
NE7435,18,2020-07-28,2021-06-08,NA,NA,NE7435_18,2020
NE7511,95,2020-07-19,2021-06-06,NA,NA,NE7511_95,2020
OK0635,D,2020-07-07,2021-07-10,NA,NA,OK0635_D,2020
OK1186,51,2020-06-25,2021-06-21,NA,NA,OK1186_51,2020
OK1487,103,2020-06-25,2021-06-21,NA,NA,OK1487_103,2020
OK1954,75,2020-07-04,2021-07-14,NA,NA,OK1954_75,2020
OK2077,24,2020-07-08,2021-07-10,NA,NA,OK2077_24,2020
OK2238,44,2020-07-09,2021-07-14,NA,NA,OK2238_44,2020
OK2427,19,2020-07-10,2021-06-20,NA,NA,OK2427_19,2020
OK2502,100,2020-07-04,2021-09-05,NA,NA,OK2502_100,2020
OK2504,92,2020-07-05,2021-09-04,NA,NA,OK2504_92,2020
OK2519,31,2020-07-10,2021-06-25,NA,NA,OK2519_31,2020
OK2720,16,2020-06-25,2021-07-14,NA,NA,OK2720_16,2020
OK3021,46,2020-06-15,2021-06-21,NA,NA,OK3021_46,2020
OK3045,52,2020-06-20,2021-07-05,NA,NA,OK3045_52,2020
OK3047,77,2020-06-20,2021-07-05,NA,NA,OK3047_77,2020
OK3135,38,2020-06-21,2021-07-05,NA,NA,OK3135_38,2020
OK3236,110,2020-06-21,2021-06-18,NA,NA,OK3236_110,2020
OK3428,99,2020-06-21,2021-06-18,NA,NA,OK3428_99,2020
OK3576,47,2020-08-07,2020-10-05,NA,NA,OK3576_47,2020
OK3688,124,2020-07-02,2021-07-13,NA,NA,OK3688_124,2020
OK3733,14,2020-07-06,2021-06-24,NA,NA,OK3733_14,2020
OK3786,55,2020-07-02,2021-07-13,NA,NA,OK3786_55,2020
OK3901,1,2020-06-23,2021-06-18,NA,NA,OK3901_1,2020
OK4005,122,2020-06-26,2021-06-18,NA,NA,OK4005_122,2020
OK4095,45,2020-06-23,2021-06-18,NA,NA,OK4095_45,2020
OK4361,107,2020-07-09,2021-06-23,NA,NA,OK4361_107,2020
OK4473,26,2020-07-05,2021-06-24,NA,NA,OK4473_26,2020
OK4480,67,2020-06-23,2021-06-18,2020-12-23,2021-06-18,OK4480_67,2020
OK4499,E,2020-07-17,2021-06-24,2020-08-08,2020-10-05,OK4499_E,2020
OK4563,112,2020-06-28,2021-06-25,NA,NA,OK4563_112,2020
OK4678,72,2020-06-26,2021-06-18,NA,NA,OK4678_72,2020
OK4723,49,2020-07-01,2021-07-07,NA,NA,OK4723_49,2020
OK4751,12,2020-07-03,2021-07-11,NA,NA,OK4751_12,2020
OK4758,43,2020-06-30,2021-07-13,NA,NA,OK4758_43,2020
OK4785,78,2020-06-27,2021-07-06,NA,NA,OK4785_78,2020
OK4945,93,2020-07-05,2021-07-11,2021-01-31,2021-03-18,OK4945_93,2020
OK5104,90,2020-07-04,2021-07-12,2020-10-24,2021-03-11,OK5104_90,2020
OK5141,96,2020-07-13,2021-06-24,NA,NA,OK5141_96,2020
OK5215,63,2020-06-30,2021-07-07,NA,NA,OK5215_63,2020
OK5332,73,2020-10-29,2021-06-24,NA,NA,OK5332_73,2020
OK5352,76,2020-06-23,2021-06-24,NA,NA,OK5352_76,2020
OK5641,41,2020-06-23,2021-06-14,NA,NA,OK5641_41,2020
OK5927,89,2020-07-05,2021-06-14,NA,NA,OK5927_89,2020
OK5936,59,2020-07-12,2021-06-24,NA,NA,OK5936_59,2020
OK6102,57,2020-06-16,2021-06-24,NA,NA,OK6102_57,2020
OK6377,A,2020-06-17,2021-07-03,NA,NA,OK6377_A,2020
OK6406,C,2020-07-12,2021-06-24,NA,NA,OK6406_C,2020
OK6480,117,2020-06-19,2021-06-24,NA,NA,OK6480_117,2020
OK6482,89,2020-07-15,2021-07-02,NA,NA,OK6482_89,2020
OK6560,59,2020-06-17,2021-06-27,NA,NA,OK6560_59,2020
OK6584,Rx20,2020-08-13,2021-06-22,NA,NA,OK6584_Rx20,2020
OK6659,B,2020-06-18,2021-06-26,NA,NA,OK6659_B,2020
OK6948,108,2020-06-19,2021-06-26,NA,NA,OK6948_108,2020
OK7073,80,2020-06-16,2021-06-17,NA,NA,OK7073_80,2020
OK7142,61,2020-06-17,2021-06-26,2021-01-18,2021-03-22,OK7142_61,2020
OK7151,86,2020-07-02,2021-06-23,NA,NA,OK7151_86,2020
OK7732,132,2020-08-13,2021-07-02,NA,NA,OK7732_132,2020
OK7813,Rx16,2020-08-15,2021-07-08,NA,NA,OK7813_Rx16,2020
OK8107,42,2020-07-02,2021-07-04,NA,NA,OK8107_42,2020
OK8124,121,2020-07-11,2021-06-23,2021-01-13,2021-06-23,OK8124_121,2020
OK8127,125,2020-06-24,2021-06-23,NA,NA,OK8127_125,2020
OK8225,62,2020-06-24,2021-06-24,2021-05-21,2021-06-24,OK8225_62,2020
OK8234,102,2020-06-22,2021-06-22,NA,NA,OK8234_102,2020
OK8302,71,2020-06-24,2021-07-04,NA,NA,OK8302_71,2020
OK9174,70,2020-07-11,2021-07-15,NA,NA,OK9174_70,2020
